S.No.,Location,Latitude,Longitude,Distance
1,Adugodi,12.9428472,77.6104155,15.40551387104159
2,Agara,12.6201123,77.4793074,48.55211814558192
5,Amruthahalli,13.0665131,77.5966238,19.767657719624058
6,Anandnagar,13.033377,77.5895227,18.75750321920574
7,Anekal,12.799122,77.68060437921741,20.30172656257821
9,Arabic College,13.0300088,77.6208657,15.494823625867657
10,Aranya Bhavan,13.01061485,77.57081951019086,19.933787840140678
11,Ashoknagar,12.9791198,77.5912997,17.222623914950994
12,Attibele,12.7782588,77.7712834,21.300680217172516
13,Attur,13.0994536,77.5680336,24.387512260471922
14,Austin Town,12.9612736,77.6152935,14.61724005905977
15,Avalahalli,13.0352777,77.7365655,7.401325871552809
17,Avenue Road,12.9684724,77.5789181,18.534833356413827
19,Bagalgunte,13.0566493,77.5048222,28.25907226569893
20,Bagalur,13.1331868,77.6687093,20.11552954434653
21,Banashankari,12.9152208,77.573598,20.039251678469917
22,Banashankari III Stage,12.9401275,77.5508062,21.83116589136804
23,Banaswadi,13.0141618,77.6518539,11.706781278762055
25,Bangalore,12.9791198,77.5912997,17.222623914950994
27,Bangalore City,12.9791198,77.5912997,17.222623914950994
28,Bangalore Corporation Building,12.9547553,77.5923087,17.161147712400986
30,Bangalore Fort,12.962940849999999,77.57575988493524,18.891782699368974
32,Bannerghatta Road,12.8264929,77.5864733,23.764741619311753
34,Basavanagudi,12.9417261,77.5755021,19.156509364499254
36,Basaveshwaranagar,12.9937572,77.5391325,23.005185344382756
38,Bellandur,12.9791198,77.5912997,17.222623914950994
39,Benson Town,12.997803,77.6041749,16.097616877828294
43,Bhattarahalli,13.0258004,77.714279,7.308237312031887
44,Bidaraguppe,12.8060574,77.7862873,18.526186420052092
47,Bommanahalli,12.9089453,77.6239038,15.216576873324009
48,Brigade Road,12.9736132,77.6074716,15.44249284701678
50,Byatarayanapura,13.062073550000001,77.59639164365345,19.527309825681307
50,Byatarayanapura,13.062073550000001,77.59639164365345,19.527309825681307
52,C.V.Raman Nagar,12.9856478,77.6649767,9.365897057718934
54,Chamrajpet,12.9569966,77.5633682,20.270275551301673
57,Chickpet,12.9680027,77.578642,18.565239578970004
58,Chikkabettahalli,13.0895251,77.5563629,24.817941326783487
59,Chikkajala,13.1715801,77.6345704,25.596074615316265
60,Chikkalasandra,12.9121916,77.5476337,22.833371862006768
61,Chikkanahalli,13.1315987,77.9027211,24.420431140009345
62,Chunchanakuppe,12.9095576,77.386642,39.95728982250892
63,CMP Centre And School,12.95825135,77.60912220089108,15.309507752472248
64,CRPF Campus Yelahanka,13.1214191,77.57086432354477,25.659567920339935
66,Dasarahalli,13.0994854,77.8361008,17.14941047313544
66,Dasarahalli,13.0994854,77.8361008,17.14941047313544
68,Deepanjalinagar,12.95062355,77.53655376999247,23.22709886236151
71,Devasandra,12.7572271,77.6472795,25.997834850536446
72,Dharmaram College,12.9338349,77.60421851377467,16.27958962169443
74,Doddajala,13.1767348,77.6520502,25.242759903637364
75,Doddakallasandra,12.8857355,77.5557448,23.00752802279526
76,Doddanekkundi,12.9793573,77.6946688,6.071516046881404
77,Domlur,12.9624669,77.6381958,12.128971269673835
78,Dommasandra,12.8777098,77.7534769,10.177897098209327
80,Dr. Ambedkar Veedhi,12.9791198,77.5912997,17.222623914950994
81,Electronics City,12.8468545,77.6769267,15.714873334462913
87,Girinagar,12.9401439,77.5444995,22.507744527855472
88,Goraguntepalya,13.0284078,77.5408961,23.571460115190543
89,Goripalya,12.9629437,77.5494998,21.73907059936494
92,Gunjur,13.4279345,77.5131493,56.81971258368887
93,H M T,13.0194939,77.7660515,5.7924996606976284
98,Handenahalli,12.958577,77.8477565,10.704454685739217
100,Hebbal Kempapura,13.0521017,77.6018107,18.459880576058275
101,Hennagara,12.7883084,77.6733345,21.706967600374504
103,Hongasandra,12.8975365,77.62807526594204,15.425202961848061
104,Hoodi,12.9919033,77.7162015,4.39455970382309
105,Horamavu,13.0273312,77.6601508,11.628046611083455
106,Hosakerehalli,12.9301881,77.5378332,23.40427117940601
107,Hosur Road,12.93164,77.6138743,15.330348763389429
108,HSR Layout,12.9116225,77.6388622,13.636680247093864
109,Hulimangala,12.8188956,77.6384041,20.59422409925075
110,Hulimavu,12.8773486,77.6028031,18.93432058351942
112,Hunasamaranahalli,13.1440103,77.6191241,23.934398011225355
115,Indiranagar,12.9732913,77.6404672,11.863199049412119
117,Industrial Estate,12.9908787,77.70512615869652,5.381099431543253
120,J P Nagar,12.9096941,77.5866067,18.90359399028704
121,J.C.Nagar,15.3500091,75.1375385,385.84676720291844
122,Jakkur,13.0784743,77.6068938,19.623871650820252
123,Jalahalli,13.0464531,77.5483803,23.439127739738854
124,Jalahalli East,13.0464531,77.5483803,23.439127739738854
125,Jalahalli Village,13.0464531,77.5483803,23.439127739738854
126,Jalahalli West,13.0533332,77.5306036,25.51201569619525
128,Jayanagar,12.9292731,77.5824229,18.696617824294073
129,Jayanagar West,12.9292731,77.5824229,18.696617824294073
132,Jeevanahalli,12.9954832,77.6208684,14.271491126615887
134,Jigani,12.7852528,77.6380931,23.726469207494546
134,Jigani,12.7852528,77.6380931,23.726469207494546
136,Jp Nagar Iii Phase,12.9072515,77.5782713,19.845579483771846
137,JP Nagar VIII phase,12.9072515,77.5782713,19.845579483771846
139,K. G. Road,12.9239878,77.5204576,25.386822404507996
140,K.P.West,12.9791198,77.5912997,17.222623914950994
141,Kacharakanahalli,12.9957647,77.814568,7.603676811041866
142,Kadabagere,12.9889098,77.4492453,32.67196558984642
143,Kadugodi,12.9985767,77.7609716,3.4255238757410282
144,Kalkunte,12.932418,77.8408056,10.704240630783358
147,Kamakshipalya,12.9823617,77.5226376,24.680217576522924
148,Kannamangala,13.2151923,77.6667197,28.619306354986502
149,Kannur,13.103799,77.6016167,21.873662879156505
151,Kathriguppe,12.9277134,77.5514022,22.01563515431492
153,Kendriya Sadan,12.925464000000002,77.62088465345457,14.811661761162451
154,Kendriya Vihar,13.1067289,77.59970299116564,22.246227476755433
155,Kodigehalli,13.3352382,77.6378555,42.22712626142574
156,Konanakunte,12.8792861,77.5697529,21.941247614820703
157,Koramangala,13.2923988,77.7519261,35.708495500830274
158,Koramangala I Block,12.928080600000001,77.63071968728623,13.708899967774833
159,Koramangala VI Bk,13.2923988,77.7519261,35.708495500830274
160,Kothanur,13.0613601,77.6493895,14.882303929467247
161,Krishnarajapuram,13.0005089,77.6753945,8.759635937980859
162,Krishnarajapuram R S,13.0005089,77.6753945,8.759635937980859
164,Kumaraswamy Layout,12.9081487,77.5553179,22.16702802839919
166,Kundalahalli,12.9684441,77.7187843,3.3617473215406974
167,Lalbagh West,12.9465265,77.580016,18.592693280316762
169,Lingarajapuram,13.0117678,77.6278288,14.02375693058636
171,Madhavan Park,12.936264999999999,77.58570855784478,18.177638495226088
172,Madivala,12.92069395,77.61442100198076,15.65025607479731
173,Magadi Road,12.9890242,77.4718714,30.223721846454367
174,Mahadevapura,12.9934976,77.6924156,6.756795683150303
175,Mahalakshmipuram Layout,13.0029165,77.5464264,22.363313726965853
176,Mahatma Gandhi Road,12.9730154,77.6166123,14.449338988258175
178,Mallathahalli,12.9623214,77.5057232,26.48858914648
179,Malleswaram,13.0027353,77.5703253,19.806775763545556
180,Malleswaram West,13.0027353,77.5703253,19.806775763545556
182,Marathahalli Colony,12.9559165,77.6882298,6.844845567308205
184,Maruthi Sevanagar,13.0026552,77.6347376,13.000941138156982
185,Mathikere,13.0328884,77.557374,22.01112063082173
186,Mavalli,12.9528478,77.5819643,18.298950050004812
187,Mayasandra,13.3095936,77.6600805,38.846184059229664
188,Medihalli,12.9681562,77.845242,10.362573135779037
189,Medimallasandra,12.9523031,77.830108,8.92791114373591
190,Mico Layout,12.9151131,77.6006286,17.268310653844043
191,Milk Colony,12.9309732,77.5901342,17.839135962595
192,Mount St Joseph,12.8684124,77.59082130918499,20.563089434488333
193,Msrit,13.030955299999999,77.56485593968172,21.173714767983284
195,Museum Road,12.9697622,77.6053042,15.671508014196762
199,Nagarbhavi,12.9546741,77.5121724,25.82997600868899
200,Nagasandra,13.0479497,77.5001349,28.43018325591494
201,Nagavara,13.0374647,77.623602,15.606734848591875
202,NAL,12.963787700000001,77.65180275216737,10.646314682742231
206,Narayan Pillai Street,12.9821931,77.6083132,15.407401224930684
207,Nayandahalli,12.9413253,77.5212118,24.99378004836918
210,New Thippasandra,12.9736956,77.6536931,10.430996580441548
211,Okalipuram,12.98204705,77.5642294415321,20.17430682819617
214,Palace Guttahalli,12.9991087,77.579517,18.753884701765777
215,Panathur,12.9351457,77.7047541,6.196050621082132
217,Peenya I Stage,13.0283168,77.5129632,26.494925631318544
218,Peenya II Stage,13.0283168,77.5129632,26.494925631318544
220,R T Nagar,13.0251833,77.5920609,18.176760028521212
222,Rajajinagar,12.9882338,77.554883,21.241191717862172
223,Rajajinagar I Block,13.0005247,77.5496568,21.975107287653444
225,Rajanakunte,13.1691901,77.5639442,29.89055628962445
229,Ramagondanahalli,12.9558969,77.7405826,1.816230198570907
230,Ramakrishna Hegde Nagar,12.976959149999999,77.5123160731423,25.77288246586978
231,Ramamurthy Nagar,13.0120218,77.6777817,9.107131013623421
233,Richmond Town,12.9626925,77.6041603,15.814505273469502
235,Sadashivanagar,13.0077079,77.5795893,18.934506104757936
238,Samethanahalli,12.979363,77.7907328,4.575360105530691
240,Sarjapura,12.8600866,77.7861352,12.746667343091357
241,Science Institute,13.022234699999998,77.56718324768107,20.642597403135657
242,Seshadripuram,12.9931876,77.5753419,19.100005224213234
244,Shanthinagar,12.9791198,77.5912997,17.222623914950994
246,Singanayakanahalli,13.1478621,77.5693207,27.779535561745615
249,Sri Jayachamarajendra Road,12.97795955,77.58627810771424,17.75938863528154
255,Subramanyapura,12.8850574,77.5415617,24.452344758005612
258,Tavarekere,13.1334356,77.9290602,26.582729556715577
259,Taverekere,12.9328504,77.6084306,15.8642966298887
260,Thambuchetty Palya,13.0215083,77.7000989,7.870175009203831
262,Tilaknagar,12.928367,77.5905691,17.864915659820078
265,Ullalu Upanagara,12.9627628,77.4745885,29.863980289664003
266,Vanakanahalli,12.6720709,77.694284,33.46545978645121
268,Vasanthnagar,12.992415999999999,77.5963467,16.83233991338815
270,Venkateshapura,13.0152581,77.617511,15.207732440328538
271,Vidhana Soudha,12.979745399999999,77.59061672797948,17.300900937402226
272,Vidyanagara,15.3597318,75.1269595,387.4111361859468
273,Vidyaranyapura,13.0766407,77.5577315,23.957603670328826
274,Vijayanagar,12.9718886,77.54578883887129,22.13010186941157
275,Vijayanagar East,12.9718886,77.54578883887129,22.13010186941157
278,Virgonagar,13.0331172,77.734857,7.206223809554526
282,Viveknagar,12.95434485,77.62269547878142,13.888426090469988
284,Wheel And Axle Plant,13.106022,77.5821244,23.626843152343778
285,Whitefield,12.9696365,77.7497448,0.0
286,Wilson Garden,12.9489339,77.5968273,16.749248999092657
287,Yadavanahalli,12.7898553,77.7514537,19.889963503023722
288,Yediyur,13.1312237,77.6957681,18.810779120452242
289,Yelachenahalli,12.897971,77.5700846,21.046019665285336
290,Yelahanka,13.1006982,77.5963454,22.07023965668053
291,Yelahanka Satellite Town,13.089139249999999,77.5827165877116,22.42863679865839
292,Yemalur,12.9454643,77.6805505,7.969835074146255
