S.No.,Location,Pincode,Latitude,Longitude
0,A F Station Yelahanka,560063,,
1,Adugodi,560030,12.9428472,77.6104155
2,Agara,560034,12.6201123,77.4793074
3,Agram,560007,,
4,Air Force Hospital,560007,,
5,Amruthahalli,560092,13.0665131,77.5966238
6,Anandnagar,560024,13.033377,77.5895227
7,Anekal,562106,12.799122,77.68060437921741
8,Anekalbazar,562106,,
9,Arabic College,560045,13.0300088,77.6208657
10,Aranya Bhavan,560003,13.01061485,77.57081951019086
11,Ashoknagar,560050,12.9791198,77.5912997
12,Attibele,562107,12.7782588,77.7712834
13,Attur,560064,13.0994536,77.5680336
14,Austin Town,560047,12.9612736,77.6152935
15,Avalahalli,560026,13.0352777,77.7365655
16,Avani Sringeri Mutt,560086,,
17,Avenue Road,560002,12.9684724,77.5789181
18,B Sk II Stage,560070,,
19,Bagalgunte,560073,13.0566493,77.5048222
20,Bagalur,562149,13.1331868,77.6687093
21,Banashankari,560050,12.9152208,77.573598
22,Banashankari III Stage,560085,12.9401275,77.5508062
23,Banaswadi,560043,13.0141618,77.6518539
24,Bandikodigehalli,562149,,
25,Bangalore,560001,12.9791198,77.5912997
26,Bangalore Bazaar,560001,,
27,Bangalore City,560002,12.9791198,77.5912997
28,Bangalore Corporation Building,560002,12.9547553,77.5923087
29,Bangalore Dist Offices Bldg,560009,,
30,Bangalore Fort,560002,12.962940849999999,77.57575988493524
31,Bangalore Sub Fgn Post,560025,,
32,Bannerghatta Road,560076,12.8264929,77.5864733
33,Bapujinagar,560026,,
34,Basavanagudi,560004,12.9417261,77.5755021
35,Basavaraja Market,560002,,
36,Basaveshwaranagar,560079,12.9937572,77.5391325
37,Basaveswaranagar II Stage,560086,,
38,Bellandur,560103,12.9791198,77.5912997
39,Benson Town,560046,12.997803,77.6041749
40,Bestamaranahalli,562106,,
41,Bettahalsur,562157,,
42,Bhashyam Circle,560010,,
43,Bhattarahalli,560049,13.0258004,77.714279
44,Bidaraguppe,562107,12.8060574,77.7862873
45,Bidrahalli,560049,,
46,Bnagalore Viswavidalaya,560056,,
47,Bommanahalli,560068,12.9089453,77.6239038
48,Brigade Road,560001,12.9736132,77.6074716
49,BSF Campus Yelahanka,560064,,
50,Byatarayanapura,560092,13.062073550000001,77.59639164365345
50,Byatarayanapura,560092,13.062073550000001,77.59639164365345
51,Byatarayanapura,560026,,
52,C.V.Raman Nagar,560093,12.9856478,77.6649767
53,Cahmrajendrapet,560002,,
54,Chamrajpet,560018,12.9569966,77.5633682
55,Chamrajpet Bazar,560018,,
56,Chandra Lay Out,560040,,
57,Chickpet,560053,12.9680027,77.578642
58,Chikkabettahalli,560097,13.0895251,77.5563629
59,Chikkajala,562157,13.1715801,77.6345704
60,Chikkalasandra,560061,12.9121916,77.5476337
61,Chikkanahalli,562130,13.1315987,77.9027211
62,Chunchanakuppe,562130,12.9095576,77.386642
63,CMP Centre And School,560025,12.95825135,77.60912220089108
64,CRPF Campus Yelahanka,560064,13.1214191,77.57086432354477
65,Cubban Road,560001,,
66,Dasarahalli,560050,13.0994854,77.8361008
66,Dasarahalli,560050,13.0994854,77.8361008
67,Dasarahalli,560057,,
68,Deepanjalinagar,560026,12.95062355,77.53655376999247
69,Devanagundi,560067,,
70,Devarjeevanahalli,560045,,
71,Devasandra,560036,12.7572271,77.6472795
72,Dharmaram College,560029,12.9338349,77.60421851377467
73,Doddagubbi,562149,,
74,Doddajala,562157,13.1767348,77.6520502
75,Doddakallasandra,560062,12.8857355,77.5557448
76,Doddanekkundi,560037,12.9793573,77.6946688
77,Domlur,560071,12.9624669,77.6381958
78,Dommasandra,562125,12.8777098,77.7534769
79,Doorvaninagar,560016,,
80,Dr. Ambedkar Veedhi,560001,12.9791198,77.5912997
81,Electronics City,560100,12.8468545,77.6769267
82,Fraser Town,560005,,
83,G.K.V.K.,560065,,
84,Gaviopuram Extension,560019,,
85,Gaviopuram Guttanahalli,560019,,
86,Gayathrinagar,560021,,
87,Girinagar,560085,12.9401439,77.5444995
88,Goraguntepalya,560022,13.0284078,77.5408961
89,Goripalya,560026,12.9629437,77.5494998
90,Governmemnt Electric Factory,560026,,
91,Govindapalya,560013,,
92,Gunjur,560087,13.4279345,77.5131493
93,H M T,560013,13.0194939,77.7660515
94,H.A. Farm,560024,,
95,H.A.L II Stage,560008,,
96,H.K.P. Road,560051,,
97,Hampinagar,560104,,
98,Handenahalli,562125,12.958577,77.8477565
99,Harogadde,562106,,
100,Hebbal Kempapura,560024,13.0521017,77.6018107
101,Hennagara,562106,12.7883084,77.6733345
102,HighCourt,560001,,
103,Hongasandra,560068,12.8975365,77.62807526594204
104,Hoodi,560048,12.9919033,77.7162015
105,Horamavu,560043,13.0273312,77.6601508
106,Hosakerehalli,560085,12.9301881,77.5378332
107,Hosur Road,560030,12.93164,77.6138743
108,HSR Layout,560102,12.9116225,77.6388622
109,Hulimangala,562106,12.8188956,77.6384041
110,Hulimavu,560076,12.8773486,77.6028031
111,Hulsur Bazaar,560008,,
112,Hunasamaranahalli,562157,13.1440103,77.6191241
113,Immedihalli,560066,,
114,Indalavadi,562106,,
115,Indiranagar,560038,12.9732913,77.6404672
116,Indiranagar Com. Complex,560038,,
117,Industrial Estate,560010,12.9908787,77.70512615869652
118,ISRO Anthariksha Bhavan,560094,,
119,Ittamadu Layout,560085,,
120,J P Nagar,560078,12.9096941,77.5866067
121,J.C.Nagar,560006,15.3500091,75.1375385
122,Jakkur,560064,13.0784743,77.6068938
123,Jalahalli,560013,13.0464531,77.5483803
124,Jalahalli East,560014,13.0464531,77.5483803
125,Jalahalli Village,560013,13.0464531,77.5483803
126,Jalahalli West,560015,13.0533332,77.5306036
127,Jalavayuvihar,560043,,
128,Jayanagar,560041,12.9292731,77.5824229
129,Jayanagar West,560070,12.9292731,77.5824229
130,Jayangar East,560069,,
131,Jayangar III Block,560011,,
132,Jeevanahalli,560005,12.9954832,77.6208684
133,Jeevanbhimanagar,560066,,
134,Jigani,560105,12.7852528,77.6380931
134,Jigani,560105,12.7852528,77.6380931
135,Jigani,562106,,
136,Jp Nagar Iii Phase,560078,12.9072515,77.5782713
137,JP Nagar VIII phase,560706,12.9072515,77.5782713
138,K H B Colony,560079,,
139,K. G. Road,560009,12.9239878,77.5204576
140,K.P.West,560020,12.9791198,77.5912997
141,Kacharakanahalli,560084,12.9957647,77.814568
142,Kadabagere,562130,12.9889098,77.4492453
143,Kadugodi,560067,12.9985767,77.7609716
144,Kalkunte,560067,12.932418,77.8408056
145,Kalyanagar,560043,,
146,Kamagondanahalli,560015,,
147,Kamakshipalya,560079,12.9823617,77.5226376
148,Kannamangala,560067,13.2151923,77.6667197
149,Kannur,562149,13.103799,77.6016167
150,Kanteeravanagar,560096,,
151,Kathriguppe,560085,12.9277134,77.5514022
152,Kenchanahalli,560098,,
153,Kendriya Sadan,560034,12.925464000000002,77.62088465345457
154,Kendriya Vihar,560064,13.1067289,77.59970299116564
155,Kodigehalli,560092,13.3352382,77.6378555
156,Konanakunte,560062,12.8792861,77.5697529
157,Koramangala,560034,13.2923988,77.7519261
158,Koramangala I Block,560034,12.928080600000001,77.63071968728623
159,Koramangala VI Bk,560095,13.2923988,77.7519261
160,Kothanur,560077,13.0613601,77.6493895
161,Krishnarajapuram,560036,13.0005089,77.6753945
162,Krishnarajapuram R S,560016,13.0005089,77.6753945
163,Kugur,562125,,
164,Kumaraswamy Layout,560078,12.9081487,77.5553179
165,Kumbalgodu,560074,,
166,Kundalahalli,560037,12.9684441,77.7187843
167,Lalbagh West,560004,12.9465265,77.580016
168,Legislators Home,560001,,
169,Lingarajapuram,560084,13.0117678,77.6278288
170,M S R Road,560054,,
171,Madhavan Park,560011,12.936264999999999,77.58570855784478
172,Madivala,560068,12.92069395,77.61442100198076
173,Magadi Road,560023,12.9890242,77.4718714
174,Mahadevapura,560048,12.9934976,77.6924156
175,Mahalakshmipuram Layout,560086,13.0029165,77.5464264
176,Mahatma Gandhi Road,560001,12.9730154,77.6166123
177,Malkand Lines,560033,,
178,Mallathahalli,560056,12.9623214,77.5057232
179,Malleswaram,560003,13.0027353,77.5703253
180,Malleswaram West,560055,13.0027353,77.5703253
181,Mandalay Lines,560033,,
182,Marathahalli Colony,560037,12.9559165,77.6882298
183,Marsur,562106,,
184,Maruthi Sevanagar,560033,13.0026552,77.6347376
185,Mathikere,560054,13.0328884,77.557374
186,Mavalli,560004,12.9528478,77.5819643
187,Mayasandra,562107,13.3095936,77.6600805
188,Medihalli,560049,12.9681562,77.845242
189,Medimallasandra,560067,12.9523031,77.830108
190,Mico Layout,560076,12.9151131,77.6006286
191,Milk Colony,560055,12.9309732,77.5901342
192,Mount St Joseph,560076,12.8684124,77.59082130918499
193,Msrit,560054,13.030955299999999,77.56485593968172
194,Mundur,560049,,
195,Museum Road,560025,12.9697622,77.6053042
196,Muthanallur,560099,,
197,Muthusandra,560087,,
198,Naduvathi,560067,,
199,Nagarbhavi,560072,12.9546741,77.5121724
200,Nagasandra,560073,13.0479497,77.5001349
201,Nagavara,560045,13.0374647,77.623602
202,NAL,560017,12.963787700000001,77.65180275216737
203,Nandinilayout,560096,,
204,Narasimharaja Colony,560019,,
205,Narasimjharaja Road,560002,,
206,Narayan Pillai Street,560001,12.9821931,77.6083132
207,Nayandahalli,560039,12.9413253,77.5212118
208,Neralur,562107,,
209,New Tharaggupet,560002,,
210,New Thippasandra,560075,12.9736956,77.6536931
211,Okalipuram,560021,12.98204705,77.5642294415321
212,P&T Col. Kavalbyrasandra,560032,,
213,Padmanabhnagar,560070,,
214,Palace Guttahalli,560003,12.9991087,77.579517
215,Panathur,560087,12.9351457,77.7047541
216,Pasmpamahakavi Road,560004,,
217,Peenya I Stage,560058,13.0283168,77.5129632
218,Peenya II Stage,560058,13.0283168,77.5129632
219,Peenya Small Industries,560058,,
220,R T Nagar,560032,13.0251833,77.5920609
221,R.M.V. Extension II Stage,560094,,
222,Rajajinagar,560010,12.9882338,77.554883
223,Rajajinagar I Block,560010,13.0005247,77.5496568
224,Rajajinagar IVth Block,560010,,
225,Rajanakunte,560064,13.1691901,77.5639442
226,Rajarajeshwarinagar,560098,,
227,Rajbhavan,560001,,
228,Ramachandrapuram,560021,,
229,Ramagondanahalli,560066,12.9558969,77.7405826
230,Ramakrishna Hegde Nagar,560045,12.976959149999999,77.5123160731423
231,Ramamurthy Nagar,560016,13.0120218,77.6777817
232,Rameshnagar,560037,,
233,Richmond Town,560025,12.9626925,77.6041603
234,Rv Niketan,560059,,
235,Sadashivanagar,560080,13.0077079,77.5795893
236,Sahakaranagar P.O,560092,,
237,Samandur,562106,,
238,Samethanahalli,560067,12.979363,77.7907328
239,Sampangiramnagar,560027,,
240,Sarjapura,562125,12.8600866,77.7861352
241,Science Institute,560012,13.022234699999998,77.56718324768107
242,Seshadripuram,560020,12.9931876,77.5753419
243,Shankarpura,560004,,
244,Shanthinagar,560027,12.9791198,77.5912997
245,Sidihoskote,562106,,
246,Singanayakanahalli,560064,13.1478621,77.5693207
247,Sivan Chetty Gardens,560042,,
248,Someswarapura,560008,,
249,Sri Jayachamarajendra Road,560002,12.97795955,77.58627810771424
250,Srirampuram,560021,,
251,St. John s Medical College,560034,,
252,St. Thomas Town,560084,,
253,State Bank Of Mysore Colony,560050,,
254,Subhashnagar,560009,,
255,Subramanyapura,560061,12.8850574,77.5415617
256,Swimming Pool Extn,560003,,
257,Tarahunise,562157,,
258,Tavarekere,562130,13.1334356,77.9290602
259,Taverekere,560029,12.9328504,77.6084306
260,Thambuchetty Palya,560049,13.0215083,77.7000989
261,Thammanayakanahalli,562106,,
262,Tilaknagar,560041,12.928367,77.5905691
263,Training Command IAF,560006,,
264,Tyagrajnagar,560028,,
265,Ullalu Upanagara,560056,12.9627628,77.4745885
266,Vanakanahalli,562106,12.6720709,77.694284
267,Vartur,560087,,
268,Vasanthnagar,560052,12.992415999999999,77.5963467
269,Venkatarangapura,560003,,
270,Venkateshapura,560045,13.0152581,77.617511
271,Vidhana Soudha,560001,12.979745399999999,77.59061672797948
272,Vidyanagara,562157,15.3597318,75.1269595
273,Vidyaranyapura,560097,13.0766407,77.5577315
274,Vijayanagar,560040,12.9718886,77.54578883887129
275,Vijayanagar East,560040,12.9718886,77.54578883887129
276,Vikramnagar,560078,,
277,Vimapura,560017,,
278,Virgonagar,560049,13.0331172,77.734857
279,Visveswarapuram,560004,,
280,Viswaneedam,560091,,
281,Vittalnagar,560018,,
282,Viveknagar,560047,12.95434485,77.62269547878142
283,Vyalikaval Extn,560003,,
284,Wheel And Axle Plant,560064,13.106022,77.5821244
285,Whitefield,560066,12.9696365,77.7497448
286,Wilson Garden,560027,12.9489339,77.5968273
287,Yadavanahalli,562107,12.7898553,77.7514537
288,Yediyur,560070,13.1312237,77.6957681
289,Yelachenahalli,560078,12.897971,77.5700846
290,Yelahanka,560064,13.1006982,77.5963454
291,Yelahanka Satellite Town,560106,13.089139249999999,77.5827165877116
292,Yemalur,560037,12.9454643,77.6805505
293,Yeshwanthpur Bazar,560022,,
294,Yeswanthpura,560022,,
